Name,Birthday,Outcome Type,Outcome Subtype,Animal Type,Sex,Breed,Color
Max,11/15/08,Adoption,,Cat,Neutered Male,Snowshoe,Chocolate/White
*Agnes,12/2/01,Transfer,Partner,Cat,Intact Female,Domestic Medium Hair Mix,Torbie/White
*Sweet Pea,6/12/14,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black
,7/19/14,Adoption,,Cat,Spayed Female,Domestic Longhair,Black
Russell,5/17/10,Adoption,,Dog,Neutered Male,Chihuahua Shorthair/Dachshund,Red
,4/12/15,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black
*Gilbert,4/1/14,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White
,11/21/12,Transfer,Partner,Cat,Spayed Female,Domestic Medium Hair Mix,Tortie/White
,6/10/19,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Black/Tan
Diego,9/14/12,Return to Owner,,Dog,Intact Male,Cocker Spaniel Mix,Black
,6/10/19,Transfer,Partner,Dog,Intact Female,Chihuahua Shorthair Mix,Black/Tan
,3/11/14,Transfer,Partner,Dog,Intact Female,Labrador Retriever Mix,Yellow
,3/8/16,Died,At Vet,Cat,Unknown,Domestic Shorthair,Tortie
*Carter,9/24/13,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Blue Tabby
,6/10/19,Transfer,Partner,Dog,Intact Female,Chihuahua Shorthair Mix,Black/Tan
Ida,9/5/14,Adoption,,Dog,Spayed Female,Boxer Mix,White
*Dolly,9/6/15,Adoption,,Cat,Spayed Female,Domestic Medium Hair Mix,White/Black
,6/10/19,Transfer,Partner,Dog,Intact Female,Chihuahua Shorthair Mix,Tan
,7/10/17,Transfer,Partner,Dog,Intact Female,Chihuahua Shorthair,Brown
,5/1/16,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Black
,4/21/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Blue Tabby
Heidi,12/12/14,Return to Owner,,Dog,Spayed Female,Australian Cattle Dog Mix,White/Red
Lola,5/17/15,Adoption,,Dog,Intact Female,Labrador Retriever,White
,6/9/14,Transfer,SCRP,Cat,Intact Male,Domestic Medium Hair Mix,Blue Tabby
,10/15/15,Transfer,Partner,Dog,Intact Male,Labrador Retriever Mix,Black
,11/20/01,Euthanasia,Suffering,Cat,Neutered Male,Domestic Longhair Mix,Black
,12/18/15,Adoption,,Dog,Neutered Male,Queensland Heeler/Chihuahua Shorthair,Sable/White
Jack,4/11/12,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby
,4/21/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Orange Tabby
Mittens,5/31/15,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black/White
*Boscoe,10/8/09,Return to Owner,,Dog,Neutered Male,Labrador Retriever Mix,Black/White
Mika,5/13/15,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Calico
Elmo,8/14/12,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair/Jack Russell Terrier,Tricolor
Halo,12/13/05,Return to Owner,,Dog,Neutered Male,Shih Tzu Mix,White
Frederick,4/13/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Cream Tabby
Duncan,5/14/08,Adoption,Foster,Dog,Neutered Male,Chihuahua Shorthair Mix,White
Nahla,3/10/15,Transfer,Partner,Dog,Intact Female,German Shepherd/Doberman Pinsch,Brown Brindle
,11/6/15,Transfer,Partner,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan
Budster,1/29/13,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Blue/White
*Dwight,6/14/16,Adoption,,Other,Neutered Male,Lop-Holland,White/Gray
Shade,8/6/13,Adoption,,Cat,Neutered Male,Manx Mix,Brown Tabby
Viper,5/1/09,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Brown
Honey,7/8/14,Adoption,,Dog,Spayed Female,Golden Retriever Mix,Gold
*Rudy,12/17/13,Adoption,,Dog,Neutered Male,Yorkshire Terrier Mix,Black/Brown
Nagini,8/8/13,Adoption,,Dog,Spayed Female,Boxer Mix,Tan/White
Bella,11/6/09,Euthanasia,Aggressive,Dog,Spayed Female,Pit Bull Mix,Brown Brindle/White
*Wiggles,3/10/17,Transfer,Partner,Dog,Neutered Male,Pit Bull Mix,White/Tan
Abby,3/28/14,Adoption,,Dog,Spayed Female,Collie Smooth Mix,Tricolor
*Hidalgo,9/10/15,Adoption,,Dog,Neutered Male,Beagle Mix,Brown/White
,4/8/18,Return to Owner,,Cat,Neutered Male,Domestic Shorthair Mix,Orange
*Fairy Cake,9/1/16,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico
,2/12/16,Return to Owner,,Dog,Spayed Female,Rat Terrier Mix,Tricolor
*Zale,6/26/13,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Blue
Leo,6/23/09,Return to Owner,,Dog,Intact Male,Presa Canario,Brown/Black
*Ayanla,8/17/16,Adoption,Foster,Cat,Spayed Female,Domestic Medium Hair Mix,Black/White
,10/30/13,Transfer,Partner,Dog,Neutered Male,Dachshund Mix,Brown/White
Brownie,11/2/15,Transfer,Partner,Dog,Intact Male,Pit Bull/Chihuahua Shorthair,Tan/White
,8/6/14,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Orange Tabby/White
*Cameron,8/15/15,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,White/Blue Tabby
,5/22/14,Transfer,SCRP,Cat,Intact Female,Domestic Medium Hair Mix,Black
Little One,2/19/02,Return to Owner,,Dog,Spayed Female,Dachshund Longhair,Red
Simba,7/20/04,Return to Owner,,Dog,Neutered Male,Labrador Retriever,Black
Stitch,5/13/01,Return to Owner,,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/White
*Saul,5/4/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Blue/White
*Vera,6/1/14,Euthanasia,Medical,Cat,Intact Female,Domestic Shorthair Mix,Tortie/White
,3/30/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White
Rufus,7/15/11,Adoption,,Dog,Neutered Male,Miniature Poodle,White
,5/19/15,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby
*Sunshine,8/12/13,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Tortie
King,6/9/07,Return to Owner,,Dog,Neutered Male,Pit Bull/Labrador Retriever,Black/White
Cass,8/25/13,Return to Owner,,Cat,Spayed Female,Domestic Shorthair Mix,White/Blue Tabby
*Zelda,10/14/12,Return to Owner,,Dog,Spayed Female,Labrador Retriever Mix,Black
Bailey,2/7/16,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,White/Tan
,11/2/13,Adoption,Foster,Dog,Spayed Female,Labrador Retriever/Pit Bull,Brown Brindle/White
Tripod,11/28/10,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White
Charlie,10/18/10,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Blue
,10/12/11,Transfer,SCRP,Cat,Intact Male,Domestic Medium Hair Mix,Orange Tabby/White
*Eloise,9/30/07,Adoption,Foster,Dog,Spayed Female,Shih Tzu Mix,White/Black
*Malcolm,11/18/15,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Black
,9/28/16,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair/Pomeranian,Black
Rosa,3/24/14,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby
*Snuffy,11/8/11,Adoption,,Dog,Neutered Male,Basset Hound/Australian Shepherd,Yellow/White
*Jaime,4/10/15,Adoption,Offsite,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby
Foxy,3/18/12,Adoption,,Dog,Spayed Female,Beagle Mix,Tan/White
*Charlie,4/21/14,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black
,5/10/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Black/White
,10/1/13,Transfer,Partner,Dog,Intact Male,German Shepherd Mix,Black/Tan
Theo,2/16/15,Return to Owner,,Dog,Neutered Male,Australian Kelpie Mix,Tricolor
Pepper,3/18/13,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Black
Molly,9/21/11,Return to Owner,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby
,5/17/05,Euthanasia,Suffering,Cat,Intact Male,Domestic Shorthair Mix,White
,10/30/11,Adoption,,Dog,Spayed Female,Miniature Schnauzer Mix,Silver
,1/8/02,Euthanasia,Suffering,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby
Briah,9/30/13,Adoption,,Dog,Spayed Female,Pit Bull Mix,Fawn/White
Apollo,5/7/16,Adoption,,Dog,Neutered Male,German Shepherd,Black/Brown
Atticus,12/26/13,Return to Owner,,Dog,Neutered Male,Rottweiler Mix,Black/Brown
Chance,5/26/15,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Brown/White
,5/10/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Black/White
,5/16/08,Transfer,Partner,Dog,Neutered Male,Great Dane Mix,White/Black
Puck,1/9/16,Adoption,Foster,Dog,Intact Female,Labrador Retriever Mix,Black/White
,5/10/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Orange Tabby
Sophie,2/13/13,Adoption,,Dog,Spayed Female,Miniature Poodle/Dachshund,Cream
Samantha,10/7/16,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/White
,7/13/17,Euthanasia,Rabies Risk,Other,Unknown,Bat,Brown/Brown
Tiny,7/14/12,Return to Owner,,Dog,Spayed Female,Chihuahua Shorthair,Black/White
Chester,11/14/18,Return to Owner,,Dog,Intact Male,Siberian Husky,Red/Tan
Rin,3/15/14,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White
,5/10/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,White
,7/23/14,Died,,Other,Unknown,Bat,Brown/Black
Goofy,6/13/11,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan
,12/21/14,Euthanasia,Rabies Risk,Other,Unknown,Skunk Mix,Black/White
,4/25/19,Adoption,,Cat,Spayed Female,Domestic Shorthair,Calico
Shadow,11/5/09,Return to Owner,,Dog,Neutered Male,Chinese Crested/Cocker Spaniel,Black
Jane,7/5/10,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Tortie
Minnie,6/17/14,Adoption,,Dog,Spayed Female,Dachshund Longhair Mix,Tan
Alaska,5/15/04,Adoption,,Cat,Spayed Female,Domestic Longhair Mix,Blue Tabby/White
Chichi Boy,7/11/14,Euthanasia,Aggressive,Cat,Intact Male,Domestic Shorthair Mix,Black
*Misty,8/8/12,Adoption,,Dog,Spayed Female,Pit Bull Mix,Fawn/White
*Folger,4/14/15,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black/White
,7/10/17,Transfer,Snr,Cat,Unknown,Domestic Shorthair,Cream Tabby/White
,3/19/19,Transfer,Snr,Cat,Intact Male,Domestic Shorthair,Orange Tabby
,7/22/14,Euthanasia,Suffering,Cat,Intact Female,Domestic Shorthair Mix,Black
,7/10/16,Transfer,Snr,Cat,Intact Female,Domestic Medium Hair,Tortie
Bud,3/19/08,Return to Owner,,Dog,Neutered Male,Australian Shepherd Mix,Tan
*Lena,2/12/16,Transfer,Partner,Dog,Spayed Female,German Shorthair Pointer Mix,White/Brown
315 Grams,6/29/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Blue Tabby
Achilles,12/2/10,Transfer,Partner,Dog,Neutered Male,Pit Bull/Basset Hound,Brown/White
King,4/30/12,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,Black Brindle/White
*Champ,5/28/13,Transfer,Partner,Dog,Neutered Male,American Pit Bull Terrier Mix,White/Brown
,6/3/14,Adoption,Foster,Dog,Spayed Female,Labrador Retriever Mix,Black/White
Shinta,6/24/16,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,White/Brown
Riley,6/1/14,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Red/Tan
Violet,7/2/12,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby
Robert,8/11/14,Transfer,Partner,Other,Intact Male,Rabbit Sh,Brown
Luc,7/11/15,Adoption,,Dog,Neutered Male,Harrier Mix,Sable
*Raven,2/6/15,Adoption,,Dog,Spayed Female,German Shepherd Mix,Black/Tricolor
*Jubilee,9/11/16,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby
Beck,2/24/15,Return to Owner,,Dog,Neutered Male,West Highland Mix,White
*Avocado,3/6/16,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black
Bella,11/8/14,Return to Owner,,Dog,Spayed Female,German Shepherd,Black/Brown
,11/27/12,Euthanasia,Rabies Risk,Other,Unknown,Raccoon Mix,Gray/Black
,4/30/15,Euthanasia,Underage,Other,Unknown,Opossum,Gray
*Trixie,12/16/14,Transfer,Partner,Dog,Spayed Female,Pit Bull Mix,Fawn/White
Clinton,4/10/04,Return to Owner,,Dog,Intact Male,American Bulldog Mix,White
Sparky,6/5/12,Adoption,,Dog,Intact Male,Samoyed,White
Tuffy,5/15/15,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby
*Yolee,4/17/15,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Tortie
,1/6/13,Died,In Kennel,Cat,Spayed Female,Domestic Shorthair Mix,Black
*Tina,1/24/13,Adoption,Foster,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Chocolate
Copper,11/8/12,Adoption,,Dog,Neutered Male,Catahoula Mix,Tan/White
,5/12/13,Transfer,SCRP,Cat,Intact Female,Domestic Medium Hair Mix,Orange Tabby/White
,6/26/13,Transfer,Partner,Dog,Spayed Female,Dachshund Mix,Brown
*Eli,12/18/16,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Black
,7/29/18,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black/White
Lucy,1/2/18,Adoption,,Dog,Spayed Female,Jack Russell Terrier Mix,Tan/White
Gunner,5/14/12,Return to Owner,,Dog,Neutered Male,Labrador Retriever Mix,Yellow
Marble,5/24/17,Adoption,,Dog,Spayed Female,Pit Bull Mix,Brown Brindle/White
,8/9/17,Transfer,Partner,Cat,Unknown,Domestic Medium Hair Mix,Black
Mia,8/3/17,Adoption,,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White
Cookie,1/23/18,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Tricolor
Emma,6/14/16,Transfer,Partner,Dog,Spayed Female,Labrador Retriever Mix,White/Tan
,7/11/16,Euthanasia,Rabies Risk,Other,Unknown,Bat,Brown
,1/5/18,Adoption,,Dog,Spayed Female,Golden Retriever Mix,Gold/White
,9/1/15,Adoption,,Dog,Spayed Female,Chihuahua Longhair Mix,Black/Tan
,10/14/18,Transfer,Partner,Other,Intact Male,Guinea Pig Mix,Red/Brown
Trap,11/17/15,Return to Owner,,Dog,Neutered Male,Black Mouth Cur Mix,Brown/Black
,9/9/18,Transfer,Snr,Cat,Unknown,Domestic Shorthair Mix,Black
Maximus,1/23/13,Transfer,Partner,Dog,Neutered Male,Bichon Frise Mix,White
*Spanky,2/17/18,Transfer,Partner,Dog,Intact Male,Labrador Retriever Mix,Black
Rex,5/27/13,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,White/Brown
Ruby,2/26/03,Euthanasia,Suffering,Dog,Spayed Female,Pit Bull Mix,Red
Lulu,5/12/12,Adoption,,Dog,Spayed Female,Dachshund,Black/White
,1/5/16,Died,,Other,Unknown,Coyote,Tan
,7/10/18,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Calico
,7/10/18,Transfer,Partner,Cat,Intact Male,Domestic Medium Hair,Blue
,3/19/19,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Orange Tabby
*Scout,4/15/16,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black
Duffy,10/23/07,Return to Owner,,Dog,Neutered Male,Parson Russell Terrier,Tricolor
*Harrison,6/4/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Brown Tabby
*Guinness,2/24/11,Transfer,Partner,Dog,Neutered Male,Catahoula/Chinese Sharpei,Brown Merle
*Komodo,6/20/18,Adoption,,Dog,Neutered Male,Pit Bull,White/Blue
,1/1/09,Euthanasia,Rabies Risk,Cat,Intact Male,Domestic Longhair Mix,Blue/White
,4/10/19,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Torbie
,4/24/16,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Black/White
Lizzy,4/2/14,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Tortie
,7/10/18,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Torbie/White
,3/26/19,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Black/White
Peanut,7/14/07,Return to Owner,,Dog,Neutered Male,Chihuahua Shorthair,Brown
Diamond,12/11/07,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Tricolor
Ivy,5/25/07,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico
*Lulu,6/17/13,Adoption,,Dog,Spayed Female,American Staffordshire Terrier Mix,Black/White
Wendigo,7/7/18,Adoption,,Dog,Neutered Male,German Shepherd,Black/Brown
Beau,1/1/14,Transfer,Partner,Dog,Neutered Male,Chinese Sharpei,Black
,1/1/13,Died,Enroute,Other,Unknown,Raccoon Mix,Gray/Black
*Clementine,8/18/15,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby
Vangogh,12/8/13,Adoption,,Dog,Spayed Female,German Shepherd Mix,Black/Tan
*Frump,11/10/13,Transfer,Partner,Dog,Neutered Male,Chihuahua Longhair Mix,Brown/White
,6/30/12,Transfer,SCRP,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby/White
*Caleb,8/18/14,Adoption,,Dog,Neutered Male,German Shepherd Mix,Black/Brown
,4/10/19,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Calico
Rufio,12/16/13,Return to Owner,,Dog,Neutered Male,Boxer Mix,Brown Brindle/White
,5/5/14,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Tortie
255 Grams-Yellow Makr,6/29/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Brown Tabby
,3/19/19,Transfer,Snr,Cat,Intact Male,Domestic Shorthair,Orange Tabby
Spot,5/14/12,Return to Owner,,Dog,Neutered Male,American Bulldog Mix,Black/White
Pearl,10/5/04,Return to Owner,,Dog,Spayed Female,Greyhound Mix,Tan/White
Hank,4/7/19,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black/White
Lobo,12/24/12,Transfer,Partner,Dog,Intact Male,Pit Bull Mix,Brown/White
Luke,12/17/14,Return to Owner,,Dog,Neutered Male,Chihuahua Shorthair Mix,Buff/White
,8/9/14,Euthanasia,Suffering,Cat,Intact Male,Domestic Shorthair Mix,Black/White
*Oreo,2/12/15,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair,Black/White
,7/10/17,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Blue Tabby
,7/6/12,Euthanasia,Medical,Dog,Intact Male,German Shepherd Mix,Black
,3/19/19,Transfer,Snr,Cat,Intact Male,Domestic Shorthair,Orange Tabby
Tyson,5/6/08,Adoption,,Dog,Neutered Male,Miniature Pinscher Mix,Black/Tan
King,10/28/08,Transfer,Partner,Dog,Neutered Male,Pit Bull,Brown Brindle/White
*Vince,9/21/12,Adoption,,Dog,Neutered Male,Australian Cattle Dog Mix,White/Brown
,6/21/14,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby
Tiana,1/23/10,Return to Owner,,Dog,Spayed Female,Miniature Pinscher Mix,Black/Tan
*Gage,3/12/11,Transfer,Partner,Dog,Neutered Male,Great Pyrenees/Australian Shepherd,White/Tricolor
Freckles,6/28/10,Return to Owner,,Dog,Spayed Female,Pit Bull Mix,White/Black
,10/21/00,Euthanasia,Suffering,Dog,Neutered Male,Pit Bull/Labrador Retriever,Brown
Marley,11/18/10,Return to Owner,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White
Sasha,9/28/14,Adoption,,Dog,Spayed Female,German Shepherd Mix,Cream
Sage,1/27/13,Return to Owner,,Dog,Spayed Female,Pit Bull Mix,Tan/White
,3/15/16,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black
Bella,10/1/08,Return to Owner,,Dog,Spayed Female,Labrador Retriever Mix,Black
*Baci,3/29/09,Adoption,,Dog,Spayed Female,Border Collie Mix,Black/White
Scooby,1/12/16,Adoption,,Dog,Neutered Male,Rhod Ridgeback Mix,Tan/White
*Stevie,12/26/10,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,Calico
*William,6/5/15,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/Yellow
,11/4/13,Adoption,,Dog,Neutered Male,Catahoula/Labrador Retriever,Brown Merle
*Dr. Pepper,11/6/15,Transfer,Partner,Dog,Neutered Male,Labrador Retriever Mix,Black
*Sam,11/24/12,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White
Lamb Chop,11/15/13,Return to Owner,,Dog,Spayed Female,Toy Poodle Mix,White
Cowboy,7/11/16,Adoption,,Cat,Neutered Male,Domestic Longhair Mix,Orange Tabby
Bowser,5/11/08,Return to Owner,,Dog,Neutered Male,German Shepherd Mix,Brown/Black
Coco,2/15/02,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Chocolate
*Link,9/7/15,Adoption,Foster,Dog,Neutered Male,Labrador Retriever Mix,Brown/Tan
,3/21/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black/White
,6/26/17,Died,In Kennel,Bird,Unknown,Cockatiel Mix,Yellow/Gray
,4/7/17,Euthanasia,Suffering,Dog,Intact Female,Great Pyrenees Mix,Tan/Brown
,4/27/17,Transfer,Partner,Dog,Intact Male,Labrador Retriever Mix,Black
Bebe,6/14/17,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown
Maggie,11/22/16,Adoption,,Dog,Spayed Female,Australian Shepherd Mix,Black/White
Ivar,10/9/17,Adoption,,Dog,Neutered Male,American Bulldog Mix,Brown Brindle/White
,11/6/16,Euthanasia,Rabies Risk,Other,Unknown,Bat Mix,Brown
,1/28/17,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby/White
Papi,11/2/17,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown/White
,8/23/17,Transfer,Partner,Cat,Unknown,Domestic Medium Hair Mix,Orange Tabby
Lena,10/9/12,Return to Owner,,Dog,Spayed Female,Great Dane Mix,Brown
Charlie,3/1/14,Return to Owner,,Dog,Spayed Female,Chow Chow,Black
,6/7/16,Transfer,Snr,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White
*Freckles,5/15/15,Adoption,,Dog,Spayed Female,Pit Bull Mix,White/Blue
,9/28/17,Adoption,,Dog,Spayed Female,Miniature Poodle Mix,Cream
Archie,3/12/16,Return to Owner,,Dog,Neutered Male,Labrador Retriever Mix,Brown/White
,4/3/16,Died,,Other,Unknown,Bat,Brown
,9/27/16,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Tan
,7/9/16,Transfer,Snr,Cat,Unknown,American Shorthair,Black
,7/10/18,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Blue/White
Major,11/11/12,Return to Owner,,Dog,Neutered Male,Pit Bull Mix,Fawn/White
*Cara,7/3/17,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Orange Tabby
*Sophia,5/1/19,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Black/White
Kilo,10/3/16,Return to Owner,,Dog,Intact Male,Pit Bull Mix,Tan/White
,7/4/15,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Tortie
Cowboy,4/25/14,Adoption,,Dog,Neutered Male,Labrador Retriever Mix,Yellow
,9/15/14,Transfer,SCRP,Cat,Spayed Female,Domestic Shorthair Mix,Tortie
295 Grams-Orange Mark,6/29/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Brown Tabby
,10/19/13,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Blue/White
,3/24/15,Transfer,SCRP,Cat,Intact Female,Domestic Medium Hair Mix,Tortie
*Snickers,9/3/13,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby
,6/30/19,Transfer,Partner,Cat,Intact Male,Domestic Shorthair,Brown Tabby
*Coal,6/23/15,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black
,3/26/19,Transfer,Snr,Cat,Intact Female,Domestic Shorthair,Brown Tabby
295 Grams- Pink Mark,6/29/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Brown Tabby
236 Grams-Green Mark,6/29/19,Transfer,Partner,Cat,Intact Female,Domestic Shorthair,Brown Tabby
*Betty,4/19/16,Adoption,,Dog,Spayed Female,Labrador Retriever Mix,Black/White
Lucy,6/22/14,Adoption,,Dog,Spayed Female,Catahoula Mix,Brown Merle
Tiberius,3/8/15,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White
Trixie,9/5/11,Return to Owner,,Dog,Spayed Female,Yorkshire Terrier Mix,Black/Tan
,5/11/19,Adoption,,Cat,Neutered Male,Domestic Shorthair,Lynx Point
*Eeyore,8/24/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black
Bob,12/11/08,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White
Snookie,12/22/09,Return to Owner,,Dog,Spayed Female,Yorkshire Terrier Mix,Blue/Tan
,1/7/15,Transfer,Partner,Dog,Intact Male,Australian Kelpie,Black/White
Elsa,1/3/07,Adoption,,Dog,Spayed Female,Irish Wolfhound Mix,White
,11/9/15,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Brown/Black
Michi,4/14/13,Adoption,,Dog,Neutered Male,Doberman Pinsch/Labrador Retriever,Brown/Tan
Anubis,5/1/12,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White
Beaux,3/1/10,Transfer,Partner,Dog,Neutered Male,German Shepherd,Brown/Black
*Eliza,7/26/15,Transfer,Partner,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/Tricolor
Millie,12/1/14,Adoption,,Dog,Spayed Female,Miniature Poodle Mix,White/Black
*Tuna,1/8/14,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Black
*April,5/1/14,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico
Razz,10/9/02,Adoption,,Dog,Neutered Male,Chinese Crested Mix,White
Bobby,4/9/19,Adoption,,Dog,Neutered Male,Labrador Retriever,Black/White
Daisy,1/8/19,Adoption,,Dog,Spayed Female,Pointer/Great Dane,Black/White
Keeper,2/7/19,Adoption,,Dog,Neutered Male,Rottweiler Mix,Black/Brown
Bird,3/29/00,Transfer,Partner,Cat,Spayed Female,Domestic Medium Hair Mix,Tortie
Ash,11/4/11,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Black
,10/11/14,Euthanasia,Rabies Risk,Other,Unknown,Bat,Red
Scout,3/21/16,Adoption,,Dog,Spayed Female,Border Collie,White/Black
Niamh,6/16/18,Transfer,Partner,Dog,Intact Female,Great Pyrenees Mix,White
,3/14/15,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Brown
